Date,High,Low,Summary
22-06-23,31.0,24.0,Thundery showers and a gentle breeze
22-06-24,31.0,26.0,Light cloud and a gentle breeze
22-06-25,31.0,26.0,Light cloud and a gentle breeze
22-06-26,30.0,26.0,Light rain showers and a gentle breeze
22-06-27,30.0,27.0,Thundery showers and a gentle breeze
22-06-28,30.0,26.0,Thundery showers and a moderate breeze
22-06-29,29.0,26.0,Thundery showers and a moderate breeze
22-06-30,29.0,26.0,Thundery showers and a moderate breeze
22-07-01,29.0,26.0,Thundery showers and a moderate breeze
22-07-02,29.0,26.0,Thundery showers and a moderate breeze
22-07-03,29.0,26.0,Thundery showers and a moderate breeze
22-07-04,29.0,26.0,Thundery showers and a moderate breeze
22-07-05,29.0,26.0,Thundery showers and a moderate breeze
